"National Pokédex
number",English,Notes
379,Registeel,"The metal its made of is an unknown type of metal that is the hardest and most scratch-resistant, and has the highest melting point of any other metal in the world. In fact, it is so scratch-resistant that not even fire, cannon shots or diamonds can hurt it."
380,Latias,"Part of the Eon duo, Latias can fly faster than a fighter jet, turn invisible and can understand human speech."
381,Latios,"The other half of the Eon duo, Latios is very similar to its counterpart. It's a bit better though when it comes to power."
382,Kyogre,Legends tell of it expanding the seas. It had a devastatingly powerful fight with Groudon over control of land until Rayquaza stopped them.
383,Groudon,It can expand the land continuously. It had a destructive battle with Kyogre over rule of the land until Rayquaza stopped it.
384,Rayquaza,It feeds on meteorites to fuel its Mega Evolution while it lives in the ozone layer. Once it came down to stop the massive fight between the powerful Groudon and the mighty Kyogre.
385,Jirachi,"Legends have it that Jirachi sleeps every 1,000 years and if you write your wishes on the tags on its forehead, it might grant them."
386,Deoxys,"Deoxys is capable of changing between four ""forms""—Normal, Attack, Defense and Speed—each of which differs by base stat values, effort value yield and appearance.[58] In the Game Boy Advance games, Deoxys' forme changes depending on the game it is used in; subsequent games allow players to freely select each form by interacting with meteorites found in specific in-game locations. Deoxys is an alien that was born when a crystal had been hit with UV rays.In March 2005, NASA teamed up with the Pokémon Trading Card Game team to use Deoxys's likeness to educate children about outer space and the ozone layer. As part of this endeavor, NASA created browser games on its website and Nintendo of America distributed promotional bracelets and postcards.[59]"
387,Turtwig,It knows where to find spring water. Its leaf will wilt if it is thirsty.
388,Grotle,The shell is hardened soil. Some Pokémon come to peck the berries growing on the trees on its back.
389,Torterra,"When Torterra sleeps, bird Pokémon like to make their nests in its tree. It is based on the Ankylosaurus."
390,Chimchar,"A fire monkey, it has a tail made of fire.[6]"
391,Monferno,"It uses all of its limbs to fight in fiery, flaming combos. Its fiery tail is also used as a weapon."
392,Infernape,"Infernape is based on the Monkey King, Sun Wukong."
393,Piplup,It's so proud it won't accept any food from people unless it has to. Its thick coat of fur guards it from the cold.
394,Prinplup,One good smack from its flipper can topple a thick tree.
395,Empoleon,"As its English name suggests, Empoleon is based on an emperor penguin and Napoleon."
396,Starly,Starly and its evolution are based on grey starlings.
397,Staravia,It flies around forests and fields in search of bug Pokémon. It stays within a huge flock.
398,Staraptor,"When Staravia evolve into Staraptor, they go solitary for the rest of their life."
399,Bidoof,"Because it needs to whittle its teeth down, it loves to build dams in rivers. In 2021, The Pokémon Company declared July 1 as Bidoof Day."
400,Bibarel,People in factories love to work with Bibarel because it's a very industrial worker.
401,Kricketot,"If it bangs its two antennae together, it will sound like a xylophone is playing."
402,Kricketune,"By rubbing its two arms together, it plays sounds that portray its emotions. Scientists are still trying to figure these sounds out."
403,Shinx,The extension and contraction of its muscles generates electricity. Its fur glows when it's in trouble.
404,Luxio,Its claws loose electricity with enough amperage to cause fainting. They live in small groups.
405,Luxray,It has very good sight that allows it to see through walls.
406,Budew,"In the winter, it closes its bud to endure the cold. In the spring, it opens it again to release its toxic pollen."
407,Roserade,"When hunting prey, Roserade uses its densely-lined toxic thorns to finish off its prey. One flower has slow poison, the other has quick poison. Both will kill you."
408,Cranidos,It lived in jungles around 100 million years ago. Its skull is as hard as iron.
409,Rampardos,It uses its thick skull to bash things with. Experts and scientists say that its stupidity made it go extinct is because its brain was too small.
410,Shieldon,"Although its fossils is buried in rocks, only its skull has only been found."
411,Bastiodon,"When attacked, they form a wall with their shield like faces to protect their young."
412,Burmy,"When Burmy breaks its cloak in battle, it will rebuild it using materials nearby. Its new cloak will become:""Plant Cloak Burmy"" if it's in a forest,"
,,"""Sandy Cloak Burmy"" if it lives in a desert or a beach, and"
,,"""Trash Cloak Burmy"" if you take a Burmy into a city."
413,Wormadam,"Wormadams cloak is now permanent and it will never shed. Depending on where Burmy evolved, it will become:""Plant Cloak Wormadam"" when a Burmy evolves in a forest,"
,,"""Sandy Cloak Wormadam"" if it was evolved at a beach or a desert, and"
,,"""Trash Cloak Wormadam"" if a Burmy happened to evolved in a city."
414,Mothim,"If a Burmy is male however, it will end up turning into a Mothim no matter what cloak it had before. It loves taking Combee's honey for itself and will not nest because it flys all over the place to get it."
415,Combee,It looks like a beehive when they sleep together. Mothim often come for its honey.
416,Vespiquen,"This female-only[15] evolution stores grubs in its beehive like rear and commands its grubs to attack, defend, or gather food for it."
417,Pachirisu,Notably used by Sejun Park to win the 2014 Pokémon World Championships[17]
418,Buizel,It spins its twin tails to swim faster and it has a flotation device on its neck.
419,Floatzel,It floats using its well-developed flotation sac. It assists in the rescues of drowning people.
420,Cherubi,It evolves by taking the nutrients from its second head and eating it.
421,Cherrim,"Capable of changing between ""Overcast"" and ""Sunshine"" forms depending on in-battle weather effects."
422,Shellos,"Has two visually different forms, West Sea form and East Sea form, based on where it is caught in Sinnoh."
423,Gastrodon,"Has two visually different forms, West Sea form and East Sea form, based on where it is caught in Sinnoh."
424,Ambipom,"If it gives you a tight squeeze, it really likes you."
425,Drifloon,"Designed by Shigeki Morimoto and first introduced in Pokémon Diamond and Pearl, Drifloon is a ghost-type Pokémon that has been known to carry little children off with it, but disliked heavy children. It was claimed that when a child mistaken it as a balloon, they will mysteriously disappear.Some video game journalists regarded its design as insipid and strange, while others considered Drifloon as one of the weirdest or disturbing Pokémon ever.[22][23][24][25][26][27][28]
There has been some commentary on Drifloon's backstory and origins, with critics labelling it as ""horrifying,""[29] ""odd piece of lore,""[30] ""creepy,""[31] ""one messed up pocket monster,""[32] and even ""the ultimate predator.""[33] Gizmodo described Drifloon as of the ghost-type species that murders unsuspecting humans to drain their life force.[34] Gita Jackson of Kotaku stated that ""In cultures all across the world, a common way for people to show their respects to children who have died is to release balloons"", when ""It is said that children who tug on the hands of Drifloon, mistaking it for a balloon will mysteriously disappear.""[26] Steven Bogos of The Escapist listed Drifloon as his favorite Pokémon, stating that ""Drifloon is a God-damn balloon. Some people would call it one of the worst Pokemon designs, but those people have obviously never kicked the crap out of the elite four with a balloon.""[35] Andrew Webster of The Verge claimed that Drifloon is the best Pokémon of all time, stating ""Drifloon is a classic example of how deceptive appearances can be.""[36]"
